BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
2517865,Teen titans. The complete fifth season / Warner Bros. Animation.,,"1419862421, 9781419862427",[2008],"Warner Home Video,","Teenagers Conduct of life Juvenile fiction, Heroes Juvenile fiction, Feature films, Childrens films, Video recordings for the hearing impaired",jcdvd,ccdvd,NA,cen,2018-03-01T00:00:00.000,1
2573575,The song of the Cid : a dual-language edition with parallel text / translated by Burton Raffel ; introduction and notes by María Rosa Menocal.,,"0143105655, 9780143105657",2009.,"Penguin Books,",Cid approximately 1043 1099 Romances,acbk,nanf,NA,swt,2018-03-01T00:00:00.000,1
2316162,For God and country : faith and patriotism under fire / by James Yee with Aimee Molloy.,"Yee, James","1586483692, 9781586483692",[2005],"Public Affairs,","Yee James, United States Army Chaplains Biography, Military chaplains United States Biography, Military chaplains Islam, Muslims United States Biography, Chinese Americans Biography, War on Terrorism 2001 2009 Social aspects, Muslims Civil rights United States Case studies, False imprisonment United States Case studies, Guant namo Bay Naval Base Cuba",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1
748967,"History of the descendants of William Kennedy and his wife Mary or Marian Henderson, from 1730-1880, carried down by numbers. To which is added, the meaning of the name Kennedy, with some facts connected with their history in Scotland and Ireland.","Kennedy, Elias Davidson, 1819-1892",,1881.,"Press of H.B. Ashmead,",Kennedy family,arbk,cs9g,NA,cen,2018-03-01T00:00:00.000,1
3133130,Mary Anne saves the day : a graphic novel / by Raina Telgemeier with color by Braden Lamb.,"Telgemeier, Raina","0545886171, 054588621X, 9780545886178, 9780545886215",2015.,"Scholastic,","Babysitters Club Imaginary organization Comic books strips etc, Babysitters Comic books strips etc, Friendship Comic books strips etc, Assertiveness Psychology Comic books strips etc, Cartoons and comics, Graphic novels, Comics Graphic works",jcbk,nccomic,NA,glk,2018-03-01T00:00:00.000,1
3229453,"When we were alone / David Alexander Robertson ; Julie Flett, illustrator.","Robertson, David, 1977-","155379673X, 9781553796732",2016.,"HighWater Press,",Indigenous peoples Canada Residential schools Juvenile fiction,jcbk,ncpic,NA,net,2018-03-01T00:00:00.000,1
2928045,DreamWeaver / George Duke.,"Duke, George",,[2013],"Heads Up International,","Popular music 2011 2020, Jazz 2011 2020",accd,cacd,NA,cen,2018-03-01T00:00:00.000,1
3204968,"The neon demon / Broad Green Pictures ; Amazon Studios ; Gaumont ; Wild Bunch ; Bold Films ; Space Rocket ; producers, Lene Børglum, Sidonie Dumas, Vincent Maraval ; story, Nicolas Winding Refn ; screenplay, Nicolas Winding Refn, Mary Laws & Polly Stenham ; directed by Nicolas Winding Refn.",,,[2016],"Broad Green Pictures,","Models Persons Drama, Fame Drama, Los Angeles Calif Drama, Horror films, Feature films, Fiction films, Thrillers Motion pictures, Video recordings for the hearing impaired",acdvd,nadvd,Floating,wts,2018-03-01T00:00:00.000,1
2795039,Freedom is blogging in your underwear / Hugh MacLeod.,"MacLeod, Hugh, 1965-","1591844851, 9781591844853",2012.,"Portfolio,","Internet Humor, Creative ability Humor",acbk,nanf,NA,dlr,2018-03-01T00:00:00.000,1
2746807,The taste of tomorrow : dispatches from the future of food / Josh Schonwald.,"Schonwald, Josh","0061804215, 0061804223, 9780061804212, 9780061804229",[2012],"Harper,","Food, Food industry and trade, Natural foods, Genetically modified foods, Food Biotechnology",acbk,nanf,NA,swt,2018-03-01T00:00:00.000,1
3303151,Vũ Trọng Phụng : tiểu thuyết : (Giông tố ; Vỡ đê) / Vũ Trọng Phụng.,"Vũ, Trọng Phụng, 1912-1939,","6046991951, 9786046991953",2016.,"Nhà xuất bản Văn Học,",Vietnam Social life and customs Fiction,acbk,caln,NA,cen,2018-03-01T00:00:00.000,1
